Location,Stake,Ward,AdultVolunteer,YouthVolunteer,Bags,RouteTime,MultiRoute,CompletedRoutes,RouteDoors,OverallTime,Neighbourhood,ID,Latitude,Longitude
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,4,9,32,75,No,1,178,75,Blackmud Creek,231,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,20,20,No,1,179,20,Blackmud Creek,232,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,25,10,No,1,190,50,Blackmud Creek,248,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,25,75,No,1,202,75,Blackmud Creek,288,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,3,37,60,No,1,206,50,Blackmud Creek,296,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,3,50,45,No,1,240,45,Blackmud Creek,343,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,3,49,60,Yes,2,241,89,Blackmud Creek,347,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,1,4,41,25,No,1,260,70,Blackmud Creek,365,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,4,5,14,30,No,1,180,30,Blackmud Creek,498,53.42284108,-113.5073499
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,22,60,No,1,180,90,Blackmud Creek,500,53.42284108,-113.5073499
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,3,14,25,No,1,14,25,Clareview,16,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,1,36,45,No,1,15,60.10972569,Clareview,17,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,24,30,No,1,23,60.10972569,Clareview,30,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,3,1,25,60,No,1,25,60.10972569,Clareview,32,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,34,60,Yes,2,32,60.10972569,Clareview,39,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,1,30,No,1,100,34,Clareview,75,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,16,60,No,1,100,65,Clareview,87,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,6,35,No,1,110,65,Clareview,99,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,0,17,60,No,1,110,60.10972569,Clareview,100,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,2,20,60,No,1,110,107,Clareview,101,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,15,30,No,1,121,38,Clareview,118,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,2,25,45,No,1,135,60.10972569,Clareview,130,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,2,6,45,No,1,150,60.10972569,Clareview,169,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,2,60,60,Yes,3,165,60.10972569,Clareview,205,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,12,50,No,1,180,63,Clareview,238,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,1,42,110,Yes,2,191,112,Clareview,251,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,2,40,70,Yes,2,200,70,Clareview,271,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,4,40,60,Yes,2,200,60.10972569,Clareview,273,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,0,55,180,No,1,225,60.10972569,Clareview,325,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,3,24,45,Yes,3,250,45,Clareview,356,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,0,38,90,Yes,2,300,114,Clareview,408,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,3,0,150,120,Yes,4,450,65,Clareview,455,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,4,0,200,240,Yes,7,607,60.10972569,Clareview,471,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,9,45,No,1,180,60.10972569,Clareview,481,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,3,3,No,1,180,60.10972569,Clareview,483,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,4,22,20,No,1,180,33,Clareview,488,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,2,20,20,No,1,180,79,Clareview,491,53.60578062,-113.3992374
Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,3,1,30,60,No,1,180,60.10972569,Clareview,492,53.60578062,-113.3992374
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,2,0,10,30,No,1,136,30,Connors Hill,134,,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,3,1,40,60,No,1,160,44,Connors Hill,195,,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,1,1,40,150,Yes,2,180,95,Connors Hill,236,,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,3,5,10,60,No,1,184,60,Connors Hill,241,,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,2,0,25,40,No,1,235,60,Connors Hill,333,,
