,Location,Stake,Ward,AdultVolunteer,YouthVolunteer,Bags,RouteTime,MultiRoute,Comments,CompletedRoutes,RouteDoors,OverallTime
96,Bearspaw Chapel,YSA Stake,Windsor Park YSA Ward,1,2,50.0,60.0,Yes,Good,2.0,110.0,58.0
97,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,12.0,25.0,No,,1.0,110.0,25.0
98,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,6.0,35.0,No,Route 136,1.0,110.0,65.0
99,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,0,17.0,60.0,No,,1.0,110.0,60.109725685785534
100,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,2,20.0,60.0,No,Very thorough. Route: 212,1.0,110.0,107.0
101,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,1,2,12.0,20.0,No,Route: 46,1.0,110.0,25.0
102,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,2,17.0,40.0,Yes,Would be helpful to have print outs to put on car saying volunteer,1.0,113.0,50.0
103,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,1,16.0,30.0,No,,1.0,114.0,21.0
104,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,13.0,15.0,No,,1.0,115.0,30.0
105,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,5,15.0,25.0,No,,1.0,115.0,84.0
106,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,15.0,40.0,No,,1.0,115.0,40.0
107,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,15.0,40.0,No,,1.0,115.0,40.0
108,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,Stony Plain Ward,2,5,20.0,20.0,No,,1.0,115.0,150.0
109,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,0,30.0,30.0,No,no comments,1.0,115.0,30.0
110,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,15.0,25.0,No,,1.0,116.0,25.0
111,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,2,11.0,35.0,No,57,1.0,116.0,60.109725685785534
112,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,3,22.0,40.0,No,,1.0,118.0,40.0
113,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,3,25.0,40.0,No,We did this route last year and the turn out was not good either.,1.0,118.0,48.0
114,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,5,16.0,30.0,No,,1.0,120.0,30.0
115,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,3,20.0,60.0,No,,1.0,120.0,60.0
116,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,1,10.0,52.0,No,,1.0,120.0,52.0
117,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,2,10.0,20.0,Yes,half of the route had no flyer signs,2.0,120.0,20.0
118,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,15.0,30.0,No,Route: 108,1.0,121.0,38.0
119,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,20.0,60.0,No,Less bags than number of houses,1.0,123.0,60.0
120,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,3,1,28.0,30.0,No,,1.0,123.0,30.0
121,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,0,44.0,75.0,No,,1.0,125.0,85.0
122,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,0,16.0,40.0,No,,1.0,125.0,40.0
123,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,1,1,18.0,45.0,No,No comment,1.0,125.0,36.0
124,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,24.0,60.0,No,Route shows 170 house but there 128,1.0,128.0,60.0
125,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,Stony Plain Ward,2,0,140.0,30.0,No,It was very simple and do-able,1.0,130.0,60.0
126,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,1,4,30.0,30.0,No,,1.0,130.0,30.0
127,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,1,0,33.0,45.0,Yes,No comu,2.0,130.0,45.0
128,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,35.0,70.0,No,,1.0,134.0,67.0
129,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,0,16.0,30.0,No,,1.0,135.0,30.0
130,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,2,25.0,45.0,No,154,1.0,135.0,60.109725685785534
131,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,1,14.0,60.0,No,,1.0,135.0,70.0
132,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,15.0,45.0,No,We went through the route twice. Donations on the route are down dramatically. Less than half of the usual of the last 10 years.,1.0,135.0,35.0
133,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,5.0,17.0,No,,1.0,135.0,17.0
134,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,2,0,10.0,30.0,No,,1.0,136.0,30.0
135,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,6.0,19.0,Yes,,2.0,136.0,18.0
136,Gateway Stake Centre,Gateway Stake,Wainwright Branch,2,0,23.0,30.0,No,People with whom i interact on Tuesdays gave more,1.0,137.0,30.0
137,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,2,0,20.0,60.0,No,,1.0,137.0,60.0
138,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,2,9.0,20.0,No,,1.0,138.0,20.0
139,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,1,21.0,35.0,No,Map should be more specific,1.0,139.0,32.0
140,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,0,18.0,63.0,No,,1.0,140.0,63.0
141,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,0,17.0,15.0,No,,1.0,140.0,15.0
142,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,36.0,60.0,Yes,"Way less donations this year, not as much as usual",2.0,140.0,73.0
143,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,1,4,17.0,25.0,No,,1.0,141.0,22.0
144,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,0,28.0,70.0,No,It would have been nice to drop off a thank you card to those who donated as in past years.,1.0,142.0,60.0
145,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,1,3,12.0,30.0,No,,1.0,142.0,30.0
146,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,1,2,31.0,60.0,No,,1.0,143.0,55.0
147,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,3,0,18.0,45.0,No,,1.0,143.0,45.0
148,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,2,35.0,75.0,Yes,,2.0,144.0,74.0
149,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,3,37.0,30.0,Yes,None,2.0,144.0,30.0
150,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,3,1,18.0,25.0,Yes,,2.0,144.0,30.0
151,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,8.0,30.0,No,,1.0,144.0,30.0
152,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,0,22.0,30.0,No,Stopped to talk to a few neighbours,1.0,145.0,45.0
153,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,1,36.0,40.0,No,,1.0,145.0,44.0
154,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,0,14.0,24.0,Yes,,2.0,146.0,24.0
155,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,20,20.0,60.0,No,Great experience to thank our neighbors for their generosity.,1.0,147.0,60.0
156,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,1,14.0,60.0,No,"Several houses on our route had no soliciting signs or have been empty so that decreased the number of people who knew about it. Usually we do 2 routes but this year that wasn't possible.
Our suggestion for the future to promote it is to get city permission to put a couple of banners on the Whitemud and Yellowhead highway spread out on overpasses (at least 2 to 3 each) at least a week before the flyers are delivered. Also if we can get permission to put the lawn signs out on center meridians on busy streets (ours is 34st) then it would get the local community notified in advance. This would be facing both ways so it would get maximun visability. Maybe the lawn signs and looking after them could be a special assignmnet overseen by the coordinator of the ward. Would there be more contact and recruitment of ward members by assigning 2 families to work together to organize the food drive flyers etc?
Another idea is if there is a lack of routes filled can the missionaries help deliver some routes? Or an email going out to ask if anyone is up to taking on an additinal one?I know that we have the bulletin but sometimes there is so much i formation in there that I dont get to read it all the way through. A seperate email would be great to get the ward thknking about it maybe 6 to 4 weeks in advance. We feel badly that the extra routes we usually sign up for didn't seem to be done as we didn't see flyers or bags. This year we had several things happen that meant we couldn't realistically do more. I am sad that was the case. Those areas have donated generously in the past.
What about contacting the schools in our ward as well and asking to put a collection box at the office or recruiting families to help that way. Or doing a presentation to get kids helping deliver flyers after school with supervision by a couple of ward members. We could have done more pickups just not more flyers. I know my daughter's junior high has a point system so there is some friendly competition with bonus points if they do service.
I know our ward did get together this year with at least one community league and had a table at their event.....what about reaching out to other community leagues and making connections in the spring so it can be planned for in the fall? Other than social media like Facebook would there be sharable links for ward members or ways to promote the event in our community? My husband said he heard it on the radio. What about quick tv commercials promoting it during the local news the week before the food drive?
I am sure we could recruit volunteer donations of flyers or banners or radio time by companies. Or at least products given at a highly discounted cost. Maybe the youth could also design posters for their schools to promote the food drive. Another idea is what about collaborating with other religious organizations in the city to deliver flyers and collect donations? Maybe it could be tried with 1 or 2 different faiths next year and expand in the future to including more. I dont know how we would choose but there is much good in the hearts of our neighbors and friends to be made. I would also like to suggest that the stake and wards consider having a donation box at the church year round or at least at activities. Maybe not just for the food drive but for hygeine or sesonal items. There is much need in our community and it would be so lovely if we could encourage more service directly impacting our neighbors and community. This could also help keep our church members outwardly focused and be mindful of ways we can truly love one another.",1.0,147.0,90.0
157,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,1,4,16.0,20.0,Yes,"It was great, the kids had fun!",2.0,147.0,20.0
158,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,3,4,14.0,60.0,Yes,,2.0,147.0,85.0
159,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,3,20.0,45.0,No,Had kids helping ( sometimes slower),1.0,147.0,45.0
160,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,4,3,26.0,30.0,No,"Dont separate D flyers from bags, takes longer to drop off",1.0,148.0,36.0
161,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,35.0,60.0,No,We enjoyed the experience,1.0,148.0,120.0
162,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,3,1,19.0,40.0,No,,1.0,150.0,50.0
163,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,0,8.0,20.0,No,,1.0,150.0,30.0
164,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,2,22.0,60.0,No,,1.0,150.0,45.0
165,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,1,21.0,45.0,Yes,,2.0,150.0,45.0
166,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,26.0,45.0,No,,1.0,150.0,40.0
167,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,2,3,25.0,45.0,No,,1.0,150.0,75.0
168,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,1,1,14.0,45.0,No,,1.0,150.0,45.0
169,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,2,6.0,45.0,No,130,1.0,150.0,60.109725685785534
170,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,3,1,34.0,60.0,No,,1.0,150.0,96.0
171,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,2,9.0,60.0,No,,1.0,150.0,60.0
172,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,25.0,30.0,No,,1.0,150.0,10.0
173,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,2,20.0,45.0,No,,1.0,151.0,123.0
174,Coronation Park Chapel,North Edmonton,Belmead,1,2,15.0,52.5,No,,1.0,153.0,89.0
175,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,17.0,60.0,No,,1.0,153.0,55.0
176,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,4,18.0,45.0,No,,1.0,154.0,45.0
177,Coronation Park Chapel,North Edmonton,Belmead,1,1,30.0,45.666666666666664,No,,1.0,154.0,50.036575228595176
178,Coronation Park Chapel,North Edmonton,Belmead,1,1,15.0,46.333333333333336,No,,1.0,155.0,55.07315045719036
179,Coronation Park Chapel,Edmonton North Stake,Stony Plain Ward,1,0,30.0,47.0,Yes,Belmed +195,2.0,155.0,60.109725685785534
180,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,4,0,24.0,40.0,No,,1.0,155.0,45.0
181,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,3,32.0,30.0,No,Super dopey dope,1.0,157.0,45.0
